epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.3168,1.78941,2.17522,1.64102,0.53992,0.42204,0.4179,0.17916,2.05835,2.06985,1.94605,0.000665954,0.000665954,0.000665954
2,166.178,1.84276,1.91856,1.70272,0.50315,0.40979,0.40984,0.16584,2.10006,2.13231,1.95491,0.00128864,0.00128864,0.00128864
3,248.273,1.80185,1.83804,1.6889,0.54004,0.44555,0.45582,0.19532,2.06855,1.90083,1.9226,0.00186733,0.00186733,0.00186733
4,327.888,1.7802,1.78099,1.67081,0.60222,0.46843,0.50271,0.22159,2.01078,1.85387,1.86623,0.001802,0.001802,0.001802
5,412.298,1.72776,1.70055,1.62754,0.64111,0.50966,0.55739,0.26015,1.93085,1.71586,1.83591,0.001736,0.001736,0.001736
6,493.975,1.69395,1.6352,1.60228,0.62324,0.51063,0.55378,0.25728,1.90529,1.76238,1.78574,0.00167,0.00167,0.00167
7,574.194,1.67212,1.59779,1.58575,0.61252,0.50097,0.53932,0.25839,1.92267,1.72799,1.80461,0.001604,0.001604,0.001604
8,656.396,1.65001,1.56138,1.57039,0.65366,0.53802,0.5925,0.27425,1.90409,1.57997,1.76149,0.001538,0.001538,0.001538
9,739.494,1.63881,1.53111,1.5622,0.70185,0.54446,0.62928,0.30458,1.84599,1.53923,1.72537,0.001472,0.001472,0.001472
10,821.445,1.60824,1.49526,1.54342,0.68994,0.5509,0.61212,0.30121,1.84023,1.56282,1.72214,0.001406,0.001406,0.001406
11,900.402,1.60164,1.46727,1.5329,0.70882,0.56765,0.63411,0.32328,1.8275,1.48925,1.7135,0.00134,0.00134,0.00134
12,984.568,1.59917,1.44232,1.52829,0.68513,0.52803,0.60057,0.30511,1.81016,1.55916,1.69706,0.001274,0.001274,0.001274
13,1066.79,1.56371,1.42381,1.51424,0.65188,0.5886,0.63678,0.31961,1.81139,1.44547,1.69535,0.001208,0.001208,0.001208
14,1150.36,1.55556,1.38735,1.49748,0.69675,0.59794,0.65422,0.32999,1.79509,1.44255,1.68833,0.001142,0.001142,0.001142
15,1235.05,1.54899,1.36712,1.48512,0.71393,0.60567,0.66827,0.33686,1.78818,1.40034,1.68243,0.001076,0.001076,0.001076
16,1319.59,1.5393,1.34729,1.48874,0.71867,0.60664,0.67549,0.34763,1.77367,1.37794,1.68184,0.00101,0.00101,0.00101
17,1401.71,1.51331,1.34637,1.47447,0.69539,0.61469,0.67991,0.35844,1.75148,1.36091,1.65479,0.000944,0.000944,0.000944
18,1484.44,1.49623,1.3081,1.46557,0.73158,0.61244,0.69424,0.35944,1.74712,1.33552,1.64254,0.000878,0.000878,0.000878
19,1569.81,1.49191,1.2878,1.44588,0.74418,0.60637,0.69285,0.36614,1.73725,1.31541,1.64298,0.000812,0.000812,0.000812
20,1653.9,1.48682,1.2761,1.45357,0.73574,0.63864,0.70988,0.37651,1.71132,1.28562,1.62241,0.000746,0.000746,0.000746
21,1755.55,1.47093,1.18193,1.45527,0.72885,0.6395,0.71267,0.37933,1.71076,1.26438,1.62962,0.00068,0.00068,0.00068
22,1836,1.44424,1.13646,1.43314,0.74815,0.64755,0.71824,0.38725,1.68747,1.23257,1.60712,0.000614,0.000614,0.000614
23,1918.65,1.42027,1.11029,1.41796,0.76161,0.63144,0.72237,0.39514,1.67917,1.23733,1.61602,0.000548,0.000548,0.000548
24,1999.96,1.40841,1.06971,1.40593,0.77609,0.64626,0.72854,0.39404,1.67603,1.22185,1.60018,0.000482,0.000482,0.000482
25,2080.71,1.3848,1.05897,1.38833,0.73614,0.65612,0.72172,0.39146,1.67665,1.21416,1.60099,0.000416,0.000416,0.000416
26,2162.53,1.37377,1.04103,1.38294,0.75859,0.65295,0.72742,0.40062,1.66953,1.19998,1.60375,0.00035,0.00035,0.00035
27,2244.06,1.35482,1.01173,1.37321,0.75493,0.6643,0.74177,0.41252,1.64218,1.17193,1.57241,0.000284,0.000284,0.000284
28,2326.02,1.33903,0.99095,1.35902,0.76484,0.66398,0.74189,0.41297,1.62969,1.176,1.57044,0.000218,0.000218,0.000218
29,2407.15,1.32515,0.97876,1.3509,0.79183,0.65915,0.75194,0.41961,1.61829,1.15236,1.55732,0.000152,0.000152,0.000152
30,2485.04,1.30697,0.95891,1.34161,0.80888,0.66173,0.75535,0.42294,1.61778,1.14113,1.56141,8.6e-05,8.6e-05,8.6e-05
